member_casual,weekday_num,weekday,time_of_day,num_rides,part_of_tot_rides
member,1,Sun,22,3258,0.00097829141914112139
member,1,Sun,23,1877,0.00056361356468013655
member,2,Mon,0,878,0.00026364022897664352
member,2,Mon,1,399,0.00011980917011580953
member,2,Mon,2,268,8.0473327295831957e-05
member,2,Mon,3,205,6.15560899091252e-05
member,2,Mon,4,598,0.00017956361836905788
member,2,Mon,5,3253,0.00097679005109455735
member,2,Mon,6,10249,0.0030775042218469471
member,2,Mon,7,18616,0.0055898935109671933
member,2,Mon,8,20878,0.00626911241523276
member,2,Mon,9,12253,0.0036792525349098096
member,2,Mon,10,10710,0.0032159303557401505
member,2,Mon,11,12991,0.0039008544585826606
member,2,Mon,12,15414,0.004628417413947589
member,2,Mon,13,14570,0.0043749864876875813
member,2,Mon,14,14060,0.00422184694693805
member,2,Mon,15,17194,0.0051629044385243838
member,2,Mon,16,25058,0.007524256102160288
member,2,Mon,17,33522,0.010065771931383877
member,2,Mon,18,26415,0.0079317273899977662
member,2,Mon,19,17906,0.0053766992483551008
member,2,Mon,20,10145,0.0030462757664784152
member,2,Mon,21,5670,0.001702551364803609
member,2,Mon,22,3305,0.00099240427877882328
member,2,Mon,23,1650,0.00049545145536612962
member,3,Tue,0,761,0.00022850821668704525
member,3,Tue,1,350,0.00010509576325948203
member,3,Tue,2,225,6.7561562095381307e-05
member,3,Tue,3,178,5.3448702457679434e-05
member,3,Tue,4,678,0.00020358550711408236
member,3,Tue,5,3637,0.0010920951170706747
member,3,Tue,6,11838,0.0035546389870449954
member,3,Tue,7,20842,0.0062583025652974992
member,3,Tue,8,22471,0.0067474482748680594
member,3,Tue,9,12859,0.0038612183421533703
member,3,Tue,10,10152,0.0030483776817436048
member,3,Tue,11,12980,0.00389755144888022
member,3,Tue,12,15669,0.0047049871843223541
member,3,Tue,13,14396,0.0043227388796671529
member,3,Tue,14,13825,0.00415128264874954
member,3,Tue,15,17621,0.0052911212697009519
member,3,Tue,16,27972,0.008399253399697805
member,3,Tue,17,38169,0.011461143393860486
member,3,Tue,18,29924,0.0089853874850764019
member,3,Tue,19,19678,0.0059087840840573932
member,3,Tue,20,11510,0.0034561492431903953
member,3,Tue,21,6647,0.0019959186811022204
member,3,Tue,22,3909,0.001173769538803758
member,3,Tue,23,2040,0.00061255816299812392
member,4,Wed,0,898,0.00026964570116289966
member,4,Wed,1,496,0.00014893571021915169
member,4,Wed,2,269,8.0773600905144769e-05
member,4,Wed,3,212,6.365800517431484e-05
member,4,Wed,4,567,0.00017025513648036091
member,4,Wed,5,3583,0.0010758803421677832
member,4,Wed,6,12065,0.0036228010963590025
member,4,Wed,7,20907,0.0062778203499028315
member,4,Wed,8,22817,0.0068513429436902907
member,4,Wed,9,13284,0.0039888346261113122
member,4,Wed,10,10634,0.0031931095614323771
member,4,Wed,11,13267,0.0039837299747529946
member,4,Wed,12,16290,0.0048914570957056067
member,4,Wed,13,15496,0.0046530398499112389
member,4,Wed,14,15134,0.004544340803340003
member,4,Wed,15,18923,0.0056820775090262246
member,4,Wed,16,28439,0.0085394811752468845
member,4,Wed,17,38975,0.011703163922966607
member,4,Wed,18,31773,0.00954059338869578
member,4,Wed,19,20742,0.0062282752043662185
member,4,Wed,20,12238,0.0036747484307701177
member,4,Wed,21,7598,0.0022814788835586988
member,4,Wed,22,4757,0.0014284015595010173
member,4,Wed,23,2491,0.00074798156079819932
member,5,Thu,0,1065,0.00031979139391813822
member,5,Thu,1,482,0.00014473187968877242
member,5,Thu,2,267,8.0173053686519158e-05
member,5,Thu,3,247,7.4167581500263045e-05
member,5,Thu,4,537,0.00016124692820097673
member,5,Thu,5,3269,0.00098159442884356235
member,5,Thu,6,11119,0.0033387422619490879
member,5,Thu,7,19809,0.0059481199268773708
member,5,Thu,8,22009,0.0066087218673655437
member,5,Thu,9,13078,0.0039269782625928748
member,5,Thu,10,10742,0.00322553911123816
member,5,Thu,11,13273,0.0039855316164088715
member,5,Thu,12,15929,0.004783058322743684
member,5,Thu,13,15205,0.0045656602296012122
member,5,Thu,14,15006,0.0045059057813479639
member,5,Thu,15,18976,0.005697992010319803
member,5,Thu,16,28427,0.00853587789193513
member,5,Thu,17,38203,0.011471352696577121
member,5,Thu,18,31774,0.0095408936623050927
member,5,Thu,19,21164,0.0063549906674962228
member,5,Thu,20,13003,0.003904457741894414
member,5,Thu,21,8027,0.0024102962619538923
member,5,Thu,22,5529,0.0016602127858905034
member,5,Thu,23,3376,0.0010137237050400324
member,6,Fri,0,1358,0.00040777156144679034
member,6,Fri,1,659,0.00019788030853713903
member,6,Fri,2,379,0.00011380369792955341
member,6,Fri,3,240,7.20656662350734e-05
member,6,Fri,4,492,0.00014773461578190047
member,6,Fri,5,3197,0.00095997472897304018
member,6,Fri,6,10143,0.0030456752192597894
member,6,Fri,7,18013,0.0054088285245515715
member,6,Fri,8,19558,0.0058727512509398564
member,6,Fri,9,12617,0.0037885521286996713
member,6,Fri,10,11149,0.0033477504702284721
member,6,Fri,11,14034,0.0042140398330959171
member,6,Fri,12,17048,0.0051190644915647138
member,6,Fri,13,17533,0.005264697192081425
member,6,Fri,14,17960,0.0053929140232579923
member,6,Fri,15,21998,0.0066054188576631029
member,6,Fri,16,29433,0.0088379531429038146
member,6,Fri,17,34260,0.010287373855056728
member,6,Fri,18,28216,0.00847252016037013
member,6,Fri,19,19421,0.0058316137664640019
member,6,Fri,20,11858,0.0035606444592312515
member,6,Fri,21,7198,0.0021613694398335765
member,6,Fri,22,5761,0.0017298762632510744
