station_name,station_id,lat,lng
Cicero Ave & Flournoy St,120,41.872126086374706,-87.7466175109489
Cicero Ave & Lake St,121,41.886834461187213,-87.745275216894981
Cicero Ave & Quincy St,122,41.877616171503952,-87.745401002638516
Cityfront Plaza Dr & Pioneer Ct,123,41.890562863377589,-87.622086501341073
Claremont Ave & Hirsch St,124,41.907792724859625,-87.685870953590268
Clarendon Ave & Gordon Ter,125,41.957923880627789,-87.649518214091913
Clarendon Ave & Junior Ter,126,41.961001193096081,-87.6495923851425
Clarendon Ave & Leland Ave,127,41.967968917860517,-87.649998519198775
Clark St & 9th St (Amli),128,41.870818148481511,-87.631217176534321
Clark St & Armitage Ave,129,41.918302225360165,-87.636291034726284
Clark St & Berwyn Ave,130,41.977992992399059,-87.668033078971717
Clark St & Bryn Mawr Ave,131,41.9835826629841,-87.669158670983137
Clark St & Chicago Ave,132,41.896750965694515,-87.630888201951421
Clark St & Columbia Ave,133,42.0044579564784,-87.672397757824484
Clark St & Drummond Pl,134,41.931239776702995,-87.644322914143885
Clark St & Elm St,135,41.902963895113132,-87.631312305029311
Clark St & Elmdale Ave,136,41.990508802832252,-87.669806697985436
Clark St & Grace St,137,41.950791655716721,-87.65917742755768
Clark St & Ida B Wells Dr,138,41.875931473039991,-87.630611093913927
Clark St & Jarvis Ave,139,42.015946094078309,-87.674987282394156
Clark St & Lake St,140,41.886010527997961,-87.630891335330645
Clark St & Leland Ave,141,41.967088669499915,-87.667416374841665
Clark St & Lincoln Ave,142,41.915695953277293,-87.634604453296348
Clark St & Lunt Ave,143,42.009079096720214,-87.6742052104131
Clark St & Montrose Ave,144,41.961588666451924,-87.666050284978
Clark St & Newport St,145,41.944530299160796,-87.654688763763815
Clark St & North Ave,146,41.911975766916171,-87.631943087520355
Clark St & Randolph St,147,41.8845994420964,-87.6318682807715
Clark St & Schiller St,148,41.907993060008089,-87.631506046365544
Clark St & Schreiber Ave,149,41.999255942024611,-87.671374550537053
Clark St & Touhy Ave,150,42.012569745709357,-87.674357739916545
Clark St & Wellington Ave,151,41.936496977668149,-87.647539603276982
Clark St & Winnemac Ave,152,41.973321451143335,-87.668021589125985
Clark St & Wrightwood Ave,153,41.929537076147376,-87.6431195341059
Clifton Ave & Armitage Ave,154,41.91820990571194,-87.65693099789496
Clinton St & 18th St,155,41.857958481068714,-87.640826809937167
Clinton St & Jackson Blvd,156,41.878095445721854,-87.639837647468227
Clinton St & Lake St,157,41.88560948106808,-87.6418113960577
Clinton St & Madison St,158,41.882208881273435,-87.641087672904575
Clinton St & Polk St,159,41.871485169453273,-87.6409342177062
Clinton St & Roosevelt Rd,160,41.8671174410221,-87.641087890941023
Clinton St & Tilden St,161,41.875895247001793,-87.640787663161959
Clinton St & Washington Blvd,162,41.8833964086954,-87.641190565745632
Clybourn Ave & Division St,163,41.904603607186552,-87.640561688627884
Clyde Ave & 87th St,164,41.737161096769476,-87.572725853771658
Columbus Dr & Randolph St,165,41.88469608821466,-87.619525996983867
Commercial Ave & 130th St,166,41.659145835155172,-87.550772850213079
Commercial Ave & 83rd St,167,41.744803841222883,-87.551318969756736
Conservatory Dr & Lake St,168,41.885498851095726,-87.7168227019608
Constance Ave & 95th St,169,41.722334433732065,-87.579046956502921
Cornell Ave & Hyde Park Blvd,170,41.802438330406247,-87.586927988832471
Cornell Dr & Hayes Dr,171,41.78059434210526,-87.5848583985208
Cottage Grove Ave & 111th Pl,172,41.691694782149376,-87.610002214689061
Cottage Grove Ave & 43rd St,173,41.816522936686781,-87.6065869644534
Cottage Grove Ave & 47th St,174,41.809867093645494,-87.6067686980057
Cottage Grove Ave & 51st St,175,41.803026729832567,-87.606610505682411
Cottage Grove Ave & 63rd St,176,41.780610845428754,-87.606081394224987
Cottage Grove Ave & 67th St,177,41.773718487929244,-87.605627713888879
Cottage Grove Ave & 71st St,178,41.765714976050482,-87.604974430307109
Cottage Grove Ave & 78th St,179,41.753184922456143,-87.605022908771929
Cottage Grove Ave & 83rd St,180,41.743433446745556,-87.6048334237344
Cottage Grove Ave & Oakwood Blvd,181,41.822974455184493,-87.607086878362921
Daley Center Plaza,182,41.884215194458179,-87.62963131928737
Damen Ave & 51st St,183,41.800910108024695,-87.6746855925926
Damen Ave & 59th St,184,41.7860193501805,-87.674168072202164
Damen Ave & Charleston St,185,41.920083468389443,-87.677873218210365
Damen Ave & Chicago Ave,186,41.895762396252643,-87.677196952948037
Damen Ave & Clybourn Ave,187,41.931917874937554,-87.677855653346654
Damen Ave & Cortland St,188,41.915984288364953,-87.6773188117213
Damen Ave & Coulter St,189,41.849199896054969,-87.675636391289885
Damen Ave & Cullerton St,190,41.855016181211049,-87.675773936522816
Damen Ave & Division St,191,41.903277685074144,-87.678428146237124
Damen Ave & Foster Ave,192,41.975601014268165,-87.679464656249863
Damen Ave & Grand Ave,193,41.891288205340132,-87.676863310962631
Damen Ave & Leland Ave,194,41.967093518504726,-87.679014151263729
Damen Ave & Madison St,195,41.881383338432329,-87.674918627674487
Damen Ave & Melrose Ave,196,41.940594601489579,-87.67850897640966
Damen Ave & Pershing Rd,197,41.823193595315018,-87.676598934302646
Damen Ave & Pierce Ave,198,41.909396544275069,-87.6776920753665
Damen Ave & Sunnyside Ave,199,41.96326464544466,-87.679273834057867
Damen Ave & Thomas St (Augusta Blvd),200,41.901315495041359,-87.6774140321368
Damen Ave & Walnut (Lake) St,201,41.88596855344661,-87.677001734755365
Damen Ave & Wellington Ave,202,41.935880706620729,-87.678408609118321
Dauphin Ave & 103rd St,203,41.707281802245646,-87.607675668705113
Dauphin Ave & 87th St,204,41.736513836450371,-87.6012613459836
Dayton St & North Ave,205,41.910585107722007,-87.649415858709759
Dearborn Pkwy & Delaware Pl,206,41.898965249038405,-87.629908949902415
Dearborn St & Adams St,207,41.879348403244272,-87.629786608088793
Dearborn St & Erie St,208,41.894004025551475,-87.629318830077878
Dearborn St & Monroe St,209,41.881282548492749,-87.629546436129587
Dearborn St & Van Buren St,210,41.876282082990905,-87.629195539017459
Delano Ct & Roosevelt Rd,211,41.867494401573879,-87.6321897279821
Desplaines St & Jackson Blvd,212,41.878284887875445,-87.6439180246837
Desplaines St & Kinzie St,213,41.888695454279208,-87.644429011216161
Desplaines St & Randolph St,214,41.8846090460615,-87.644564848583087
Dodge Ave & Church St,215,42.048306590242341,-87.698261935693012
Dodge Ave & Main St,216,42.034668510969531,-87.6991820731436
Dodge Ave & Mulford St,217,42.023497016386372,-87.6996016654808
Dorchester Ave & 49th St,218,41.805806946089426,-87.592495484372662
Dorchester Ave & 63rd St,219,41.780411789382121,-87.591395891682438
Drake Ave & Addison St,220,41.947319758385731,-87.717593624213848
Drake Ave & Fullerton Ave,221,41.924395586869743,-87.715426587461678
Drake Ave & Montrose Ave,222,41.961169088610923,-87.716523900888546
Dusable Harbor,223,41.886971423663276,-87.612812842436384
Dusable Museum,224,41.791574580034762,-87.607866557954182
East End Ave & 87th St,225,41.736806473161238,-87.58281941445766
Eastlake Ter & Rogers Ave,226,42.020888072780515,-87.665070938070457
Eberhart Ave & 131st St,227,41.657994598188928,-87.610778076431671
Eberhart Ave & 61st St,228,41.784135992227242,-87.613297657599446
Eberhart Ave & 91st St,229,41.729265964660016,-87.611815654764484
Eckhart Park,230,41.89637944172425,-87.660985364936082
Eggleston Ave & 69th St,231,41.768898470260226,-87.635874916976434
Eggleston Ave & 92nd St,232,41.727618023133317,-87.634876090900619
Elizabeth (May) St & Fulton St,233,41.88660890477545,-87.658072300835116
Elizabeth St & 47th St,234,41.808395698453609,-87.6565254347079
Elizabeth St & 59th St,235,41.786692384615378,-87.655865307692324
Elizabeth St & 92nd St,236,41.7268054036623,-87.65429083979781
Ellis Ave & 53rd St,237,41.799332697659523,-87.600972875957041
Ellis Ave & 55th St,238,41.794297276698266,-87.601460895794489
Ellis Ave & 58th St,239,41.788732613733721,-87.601316740260216
Ellis Ave & 60th St,240,41.785106380948648,-87.601080716467649
Ellis Ave & 83rd St,241,41.744125295061735,-87.599042057407416
Elmwood Ave & Austin St,242,42.025805081262938,-87.684102294306413
Elston Ave & Wabansia Ave,243,41.912910899097731,-87.664176058266619
Emerald Ave & 28th St,244,41.843592826562137,-87.64538081979093
Emerald Ave & 31st St,245,41.838200253772811,-87.645110867571148
Evans Ave & 75th St,246,41.758495480864191,-87.606405705555559
Evanston Civic Center,247,42.057035272283883,-87.686565162209888
Ewing Ave & Burnham Greenway,248,41.712726052773739,-87.534735841063437
Exchange Ave & 79th St,249,41.751994293183941,-87.552964968253974
Fairbanks Ct & Grand Ave,250,41.891848930256629,-87.620595438594677
Fairbanks St & Superior St,251,41.895733956170417,-87.6201182293037
Fairfield Ave & Roosevelt Rd,252,41.866626366377758,-87.694513177681458
Federal St & Polk St,253,41.872094063267092,-87.629537297118745
Field Blvd & South Water St,254,41.88630169279562,-87.617491951168333
Field Museum,255,41.865319986834685,-87.617887913759574
Financial Pl & Ida B Wells Dr,256,41.875019090352353,-87.6330943886554
Fort Dearborn Dr & 31st St,257,41.838559902345452,-87.608213816227547
Francisco Ave & Foster Ave,258,41.975622421834281,-87.701395339241429
Franklin St & Adams St,259,41.8794079522183,-87.635484343001636
Franklin St & Chicago Ave,260,41.896740511156828,-87.635684001073727
Franklin St & Illinois St,261,41.89101796660885,-87.635478050169866
Franklin St & Jackson Blvd,262,41.877723601624332,-87.635299781201837
Franklin St & Lake St,263,41.885837122721725,-87.635493105668516
Franklin St & Monroe St,264,41.880292330415692,-87.635221104824623
Glenwood Ave & Morse Ave,265,42.007957481213715,-87.6654923876204
Glenwood Ave & Touhy Ave,266,42.012687190563504,-87.666056696491879
Green St & Madison St,267,41.8818903948875,-87.648781087296044
Green St & Randolph St,268,41.88367408855428,-87.648654139100131
Greenview Ave & Diversey Pkwy,269,41.932594557257282,-87.66594250420502
Greenview Ave & Fullerton Ave,270,41.925337814158588,-87.665794573348862
Greenview Ave & Jarvis Ave,271,42.015972205130836,-87.668584783452275
Greenwood Ave & 47th St,272,41.80982816507936,-87.599376732055745
Greenwood Ave & 79th St,273,41.751293636029416,-87.597550975081688
Greenwood Ave & 91st St,274,41.728561485005294,-87.5972832598313
Greenwood Ave & 97th St,275,41.718719156609019,-87.596995240572042
Hale Ave & 107th St,276,41.699223513888889,-87.668862131944451
Halsted St & 104th St,277,41.705140021739133,-87.642392148550726
Halsted St & 111th St,278,41.69228939664864,-87.6426951944472
Halsted St & 18th St,279,41.857504309825948,-87.646262568199177
Halsted St & 21st St,280,41.853762954985122,-87.646605679916263
Halsted St & 35th St,281,41.830679928898206,-87.647169521730873
Halsted St & 37th St,282,41.827082088118331,-87.645710683196612
Halsted St & 47th Pl,283,41.808140076733771,-87.64561932529827
Halsted St & 51st St,284,41.801823003579983,-87.64521309839381
Halsted St & 56th St,285,41.792940402767634,-87.644997466844785
Halsted St & 59th St,286,41.787533838414639,-87.644880773374
Halsted St & 63rd St,287,41.779388478479149,-87.644619647094956
Halsted St & 69th St,288,41.769065298976969,-87.644612814113373
Halsted St & 73rd St,289,41.7616096254613,-87.644153162811762
Halsted St & 78th St,290,41.752498124996883,-87.643846167276877
Halsted St & 96th St,291,41.719716837462705,-87.6429555822605
Halsted St & Archer Ave,292,41.847202758689363,-87.646802322230286
Halsted St & Clybourn Ave,293,41.909663758966957,-87.648114766277175
Halsted St & Dickens Ave,294,41.919935207239263,-87.648827742058174
Halsted St & Maxwell St,295,41.86489112737717,-87.647078611965341
Halsted St & North Branch St,296,41.89937154220079,-87.648483634966738
Halsted St & Polk St,297,41.8718265814832,-87.64663479236637
Halsted St & Roosevelt Rd,298,41.867322261956367,-87.648620099365345
Halsted St & Roscoe St,299,41.943677643903392,-87.6489559152093
Halsted St & Willow St,300,41.913866582869574,-87.648763209936163
Halsted St & Wrightwood Ave,301,41.929137134139772,-87.649088902032048
Harper Ave & 59th St,302,41.787942357329761,-87.588319678180582
Hegewisch Metra Station,303,41.648500631332048,-87.5460896938095
Hermitage Ave & Polk St,304,41.87151298798431,-87.669885924885662
