member_casual,day_of_year,trip_date,avg_ride_len_secs,avg_ride_len,num_rides,daily_rides,part_of_daily_rides,part_of_tot_rides
casual,205,2020-07-23,2484,00:41:24,8053,18315,0.43969423969423971,0.0024181033757960254
member,205,2020-07-23,1020,00:17:00,10262,18315,0.56030576030576029,0.0030814077787680136
casual,206,2020-07-24,2583,00:43:03,10013,20360,0.49179764243614932,0.003006639650049125
member,206,2020-07-24,1019,00:16:59,10347,20360,0.50820235756385068,0.003106931035559602
casual,207,2020-07-25,2958,00:49:18,15244,25976,0.58684939944564218,0.0045773709003644122
member,207,2020-07-25,1177,00:19:37,10732,25976,0.41315060055435787,0.003222536375145032
casual,208,2020-07-26,2909,00:48:29,11087,19489,0.56888501205808406,0.0033291335064510783
member,208,2020-07-26,1121,00:18:41,8402,19489,0.43111498794191594,0.0025228988654461947
casual,209,2020-07-27,2532,00:42:12,6343,14807,0.42837846964273657,0.0019046355038711273
member,209,2020-07-27,983,00:16:23,8464,14807,0.57162153035726349,0.0025415158292235885
casual,210,2020-07-28,2582,00:43:02,7805,17849,0.4372793994061292,0.0023436355206864494
member,210,2020-07-28,1025,00:17:05,10044,17849,0.56272060059387086,0.0030159481319378218
member,211,2020-07-29,964,00:16:04,8995,15152,0.59365100316789865,0.0027009611157686885
casual,211,2020-07-29,2425,00:40:25,6157,15152,0.40634899683210135,0.0018487846125389456
member,212,2020-07-30,969,00:16:09,9751,17426,0.55956616549982785,0.0029279679644091698
casual,212,2020-07-30,2443,00:40:43,7675,17426,0.44043383450017215,0.0023045999514757849
casual,213,2020-07-31,2398,00:39:58,10242,21147,0.48432401759114768,0.0030754023065817575
member,213,2020-07-31,998,00:16:38,10905,21147,0.51567598240885237,0.0032744837095561477
member,214,2020-08-01,1072,00:17:52,9964,22604,0.44080693682534067,0.0029919262431927973
casual,214,2020-08-01,2556,00:42:36,12640,22604,0.55919306317465933,0.0037954584217138655
member,215,2020-08-02,1093,00:18:13,7303,14873,0.4910240032273247,0.002192898168811421
casual,215,2020-08-02,2491,00:41:31,7570,14873,0.50897599677267535,0.00227307122249794
casual,216,2020-08-03,2207,00:36:47,4966,12588,0.39450270098506512,0.0014911587438473936
member,216,2020-08-03,912,00:15:12,7622,12588,0.60549729901493488,0.0022886854501822061
member,217,2020-08-04,970,00:16:10,10217,17138,0.59616057883066864,0.0030678954663489371
casual,217,2020-08-04,2337,00:38:57,6921,17138,0.4038394211693313,0.002078193650053929
member,218,2020-08-05,934,00:15:34,10253,17265,0.59386041123660582,0.0030787053162841982
casual,218,2020-08-05,2230,00:37:10,7012,17265,0.40613958876339418,0.0021055185485013943
casual,219,2020-08-06,2251,00:37:31,8180,19120,0.42782426778242677,0.0024562381241787518
member,219,2020-08-06,951,00:15:51,10940,19120,0.57217573221757323,0.0032849932858820957
member,220,2020-08-07,970,00:16:10,11259,21803,0.51639682612484517,0.0033807805672528808
casual,220,2020-08-07,2384,00:39:44,10544,21803,0.48360317387515478,0.0031660849365942245
casual,221,2020-08-08,2578,00:42:58,15928,27786,0.57323832145684872,0.0047827580491343709
member,221,2020-08-08,1088,00:18:08,11858,27786,0.42676167854315122,0.0035606444592312515
casual,222,2020-08-09,2644,00:44:04,12557,22377,0.56115654466639853,0.0037705357121409029
member,222,2020-08-09,1091,00:18:11,9820,22377,0.43884345533360147,0.0029486868434517532
casual,223,2020-08-10,2032,00:33:52,3540,9247,0.38282686276630257,0.0010629685769673327
member,223,2020-08-10,948,00:15:48,5707,9247,0.61717313723369738,0.0017136614883481829
casual,224,2020-08-11,2230,00:37:10,6720,17070,0.39367311072056238,0.0020178386545820553
member,224,2020-08-11,962,00:16:02,10350,17070,0.60632688927943756,0.0031078318563875404
casual,225,2020-08-12,2047,00:34:07,6913,17672,0.39118379357175193,0.0020757914611794267
member,225,2020-08-12,944,00:15:44,10759,17672,0.60881620642824807,0.0032306437625964778
casual,226,2020-08-13,2045,00:34:05,7331,17830,0.41116096466629276,0.0022013058298721794
member,226,2020-08-13,944,00:15:44,10499,17830,0.58883903533370718,0.0031525726241751484
casual,227,2020-08-14,1994,00:33:14,8803,19484,0.451806610552248,0.0026433085827806298
member,227,2020-08-14,963,00:16:03,10681,19484,0.548193389447752,0.003207222421070079
member,228,2020-08-15,1078,00:17:58,10396,22609,0.45981688708036622,0.0031216444424159292
casual,228,2020-08-15,2268,00:37:48,12213,22609,0.54018311291963372,0.0036672415905372978
casual,229,2020-08-16,2484,00:41:24,12863,23514,0.5470358084545377,0.0038624194365906215
member,229,2020-08-16,1125,00:18:45,10651,23514,0.4529641915454623,0.0031982142127906948
member,230,2020-08-17,916,00:15:16,9664,16403,0.58916051941717973,0.0029018441603989556
casual,230,2020-08-17,2127,00:35:27,6739,16403,0.41083948058282022,0.0020235438531589984
casual,231,2020-08-18,2108,00:35:08,7251,18425,0.39354138398914518,0.0021772839411271548
member,231,2020-08-18,919,00:15:19,11174,18425,0.60645861601085482,0.0033552573104612925
member,232,2020-08-19,930,00:15:30,11175,18789,0.59476289318218112,0.0033555575840706051
casual,232,2020-08-19,1984,00:33:04,7614,18789,0.40523710681781894,0.0022862832613077034
member,233,2020-08-20,949,00:15:49,11173,19163,0.58305067056306425,0.0033549570368519794
casual,233,2020-08-20,2090,00:34:50,7990,19163,0.41694932943693575,0.0023991861384093185
member,234,2020-08-21,931,00:15:31,11422,21628,0.5281117070464213,0.003429725165570868
casual,234,2020-08-21,2164,00:36:04,10206,21628,0.4718882929535787,0.0030645924566464963
