member_casual,day_of_year,month,day_of_month,avg_ride_len_secs,avg_ride_len,num_rides,part_of_tot_rides
casual,340,Dec,5,1488,00:24:48,1511,0.00045371342367164959
member,340,Dec,5,811,00:13:31,3702,0.0011116129016760072
casual,341,Dec,6,1493,00:24:53,964,0.00028946375937754484
member,341,Dec,6,795,00:13:15,2656,0.00079752670633481226
member,342,Dec,7,700,00:11:40,3327,0.000999010298183705
casual,342,Dec,7,1228,00:20:28,689,0.00020688851681652321
casual,343,Dec,8,1006,00:16:46,624,0.00018737073221119084
member,343,Dec,8,709,00:11:49,3415,0.0010254343758032318
member,344,Dec,9,778,00:12:58,4524,0.0013584378085311336
casual,344,Dec,9,1460,00:24:20,1219,0.00036603352975231031
casual,345,Dec,10,1514,00:25:14,1636,0.0004912476248357503
member,345,Dec,10,818,00:13:38,5035,0.0015118776228899772
member,346,Dec,11,677,00:11:17,2743,0.00082365051034502643
casual,346,Dec,11,1168,00:19:28,570,0.00017115595730829932
casual,347,Dec,12,1203,00:20:03,444,0.00013332148253488579
member,347,Dec,12,683,00:11:23,1589,0.00047713476519804847
member,348,Dec,13,860,00:14:20,2914,0.00087499729753751619
casual,348,Dec,13,1614,00:26:54,1171,0.00035162039650529564
member,349,Dec,14,678,00:11:18,3128,0.00093925584993045659
casual,349,Dec,14,1020,00:17:00,630,0.00018917237386706766
member,350,Dec,15,679,00:11:19,3194,0.00095907390814510183
casual,350,Dec,15,1052,00:17:32,615,0.00018466826972737558
member,351,Dec,16,686,00:11:26,2757,0.00082785434087540564
casual,351,Dec,16,1198,00:19:58,521,0.00015644255045197184
member,352,Dec,17,702,00:11:42,2906,0.00087259510866301369
casual,352,Dec,17,1166,00:19:26,571,0.00017145623091761213
casual,353,Dec,18,1292,00:21:32,853,0.0002561333887438234
member,353,Dec,18,737,00:12:17,3453,0.0010368447729571185
member,354,Dec,19,786,00:13:06,3179,0.00095456980400540972
casual,354,Dec,19,1698,00:28:18,1275,0.00038284885187382742
casual,355,Dec,20,1833,00:30:33,1156,0.00034711629236560353
member,355,Dec,20,842,00:14:02,2566,0.00077050208149665974
member,356,Dec,21,753,00:12:33,3108,0.00093325037774420055
casual,356,Dec,21,1411,00:23:31,888,0.00026664296506977159
member,357,Dec,22,728,00:12:08,3289,0.00098759990102981828
casual,357,Dec,22,1405,00:23:25,872,0.0002618385873207667
member,358,Dec,23,742,00:12:22,3029,0.00090952876260848889
casual,358,Dec,23,1366,00:22:46,838,0.00025162928460413129
member,359,Dec,24,622,00:10:22,1123,0.00033720726325828096
casual,359,Dec,24,975,00:16:15,187,5.6151164941494692e-05
member,360,Dec,25,743,00:12:23,471,0.00014142886998633154
casual,360,Dec,25,1725,00:28:45,219,6.5759920439504473e-05
member,361,Dec,26,789,00:13:09,1441,0.0004326942710197532
casual,361,Dec,26,1987,00:33:07,595,0.00017866279754111947
member,362,Dec,27,870,00:14:30,2041,0.00061285843660743671
casual,362,Dec,27,1862,00:31:02,985,0.00029576950517311372
member,363,Dec,28,764,00:12:44,2560,0.00076870043984078292
casual,363,Dec,28,1607,00:26:47,598,0.00017956361836905788
casual,364,Dec,29,1344,00:22:24,422,0.00012671546313000406
member,364,Dec,29,704,00:11:44,1840,0.00055250344113556274
member,365,Dec,30,732,00:12:12,1327,0.00039846307955809335
casual,365,Dec,30,1571,00:26:11,243,7.2966487063011822e-05
member,366,Dec,31,800,00:13:20,1815,0.00054499660090274256
casual,366,Dec,31,1730,00:28:50,450,0.00013512312419076261
member,32,Feb,1,670,00:11:10,2787,0.00083686254915478985
casual,32,Feb,1,2094,00:34:54,386,0.00011590561319474305
member,33,Feb,2,818,00:13:38,4078,0.0012245157787776223
casual,33,Feb,2,2206,00:36:46,1277,0.00038344939909245305
member,34,Feb,3,667,00:11:07,6878,0.0020652818848534787
casual,34,Feb,3,2021,00:33:41,348,0.00010449521604085642
member,35,Feb,4,633,00:10:33,5913,0.0017755178518666208
casual,35,Feb,4,1648,00:27:28,210,6.3057457955689229e-05
member,36,Feb,5,620,00:10:20,5162,0.0015500123712727037
casual,36,Feb,5,2323,00:38:43,184,5.5250344113556275e-05
member,37,Feb,6,647,00:10:47,3124,0.00093805475549320544
casual,37,Feb,6,2985,00:49:45,91,2.7324898447465332e-05
member,38,Feb,7,667,00:11:07,4912,0.0014749439689445022
casual,38,Feb,7,2753,00:45:53,301,9.0382356403154551e-05
member,39,Feb,8,666,00:11:06,2781,0.000835060907498913
casual,39,Feb,8,2022,00:33:42,425,0.00012761628395794247
member,40,Feb,9,637,00:10:37,1655,0.00049695282341269366
casual,40,Feb,9,2802,00:46:42,150,4.5041041396920876e-05
member,41,Feb,10,645,00:10:45,6070,0.0018226608085287314
casual,41,Feb,10,1812,00:30:12,210,6.3057457955689229e-05
member,42,Feb,11,643,00:10:43,6219,0.0018674015763163394
casual,42,Feb,11,1936,00:32:16,218,6.5459646830191674e-05
member,43,Feb,12,639,00:10:39,4709,0.0014139884262540027
casual,43,Feb,12,3454,00:57:34,172,5.16470608018026e-05
casual,44,Feb,13,3411,00:56:51,70,2.101915265189641e-05
member,44,Feb,13,708,00:11:48,2858,0.000858181975415999
member,45,Feb,14,610,00:10:10,2734,0.00082094804786121114
casual,45,Feb,14,2567,00:42:47,139,4.1738031694480014e-05
member,46,Feb,15,633,00:10:33,1613,0.0004843413318215558
casual,46,Feb,15,2473,00:41:13,199,5.975444825324836e-05
member,47,Feb,16,712,00:11:52,2417,0.00072576131370905169
casual,47,Feb,16,2386,00:39:46,477,0.00014323051164220839
member,48,Feb,17,649,00:10:49,3377,0.0010140239786493453
casual,48,Feb,17,2501,00:41:41,195,5.8553353815997137e-05
member,49,Feb,18,647,00:10:47,6235,0.0018722059540653444
casual,49,Feb,18,1862,00:31:02,329,9.8790017463913122e-05
member,50,Feb,19,611,00:10:11,5423,0.001628383783303346
casual,50,Feb,19,2279,00:37:59,243,7.2966487063011822e-05
casual,51,Feb,20,3013,00:50:13,160,4.8043777490048932e-05
member,51,Feb,20,589,00:09:49,4680,0.0014052804915839312
member,52,Feb,21,633,00:10:33,5099,0.001531095133885997
casual,52,Feb,21,2295,00:38:15,359,0.00010779822574329729
member,53,Feb,22,802,00:13:22,3883,0.0011659624249616251
casual,53,Feb,22,2421,00:40:21,1510,0.0004534131500623368
member,54,Feb,23,936,00:15:36,4874,0.0014635335717906157
casual,54,Feb,23,2422,00:40:22,2795,0.00083926473802929224
member,55,Feb,24,630,00:10:30,6378,0.0019151450801970756
casual,55,Feb,24,1749,00:29:09,307,9.2183998059031384e-05
member,56,Feb,25,638,00:10:38,4769,0.0014320048428127709
casual,56,Feb,25,1861,00:31:01,168,5.0445966364551378e-05
member,57,Feb,26,598,00:09:58,3717,0.0011161170058156993
casual,57,Feb,26,2738,00:45:38,102,3.06279081499062e-05
member,58,Feb,27,637,00:10:37,5299,0.001591149855748558
casual,58,Feb,27,2407,00:40:07,201,6.0354995471873971e-05
member,59,Feb,28,653,00:10:53,4836,0.0014521231746367289
casual,59,Feb,28,3442,00:57:22,276,8.28755161703344e-05
member,60,Feb,29,735,00:12:15,2903,0.00087169428783507533
casual,60,Feb,29,2558,00:42:38,704,0.00021139262095621529
casual,1,Jan,1,2945,00:49:05,471,0.00014142886998633154
member,1,Jan,1,766,00:12:46,1645,0.00049395008731956559
